2026-05-26T14:28:15.419041 | UPLOAD | Ruby找藥 -- 20260422建線 & 0427生產_Qbi製程記錄表_(UPC) Urine Test_UMRZ26C029(退)    C1 #2         0421發 V 找好已印(退).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26D043 | LOT= | OK
2026-05-26T14:28:17.450627 | UPLOAD | Ruby找藥 -- 20260422建線 & 0505 生產Qbi製程記錄表_(LV) 肝功能檢查 Liver  11_UMRZ26D044  C1 #2             0421發 V 找好已印(退).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26D044 | LOT= | OK
2026-05-26T14:28:19.220696 | UPLOAD | Ruby找藥 -- 20260424建線 & 0428生產_Qbi製程記錄表_(GC) 常規生化 General Chem  26_UMRZ26D024     C1#1      0423發   找好待印    待確認使用穴別(退).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26D024 | LOT= | OK
2026-05-26T14:28:24.461751 | UPLOAD | Ruby找藥 -- 20260427建線 & 0429~0430生產_Qbi製程記錄表_Optimum Wellness  37_ UMRZ26D045    C1#1    & C5  #2  0422發   材料跟備註還沒改好   待確認使用穴別(退 123).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26D045 | LOT= | OK
2026-05-26T14:28:24.475158 | UPLOAD | Ruby找藥 -- 20260427建線 & 0429~0430生產_Qbi製程記錄表_Optimum Wellness  37_ UMRZ26D045    C1#1    & C5  #2  0422發   材料跟備註還沒改好   待確認使用穴別(退 123).xlsx | SHEET=ow (1 2) | TYPE=standard | WO=UMRZ26D045 | LOT= | OK
2026-05-26T14:28:24.488418 | UPLOAD | Ruby找藥 -- 20260427建線 & 0429~0430生產_Qbi製程記錄表_Optimum Wellness  37_ UMRZ26D045    C1#1    & C5  #2  0422發   材料跟備註還沒改好   待確認使用穴別(退 123).xlsx | SHEET=ow (3) | TYPE=standard | WO=UMRZ26D045 | LOT= | OK
2026-05-26T14:28:26.221586 | UPLOAD | 改OK      20260416建線 & 0417生產_Qbi製程記錄表_(RL) 腎功能檢查 Renal  15_UMRZ26D036(退).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26D036 | LOT=1-0000007-26041701 | OK
2026-05-26T14:28:27.980245 | UPLOAD | 改OK     20260413建線 & 0416生產_Qbi製程記錄表_(EQ) 馬匹健康检查 Equine  26_UMRZ26D019(退).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26D019 | LOT= | OK
2026-05-26T14:28:29.761776 | UPLOAD | 改OK    20260413建線 & 0427生產_Qbi製程記錄表_(CC) 危重症 Critical Care  26_UMRZ26D020(退).xlsx | SHEET=ow | TYPE=standard | WO=UMRD26D020 | LOT= | OK
2026-05-26T14:28:31.571062 | UPLOAD | 材料跟上次一樣沒變     20260414建線 & 0417生產_Qbi製程記錄表_(AR) 異寵全套 Avian & Reptile 26_UMRZ26D035(退).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26D035 | LOT= | OK
2026-05-26T14:29:39.403731 | UPLOAD | 20260505建線 & 0512生產 _Qbi製程記錄表_(ST5) Specific Test 5_UMRZ26E020(退).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26E020 | LOT= | OK
2026-05-26T14:29:42.252542 | UPLOAD | 20260511建線 & 0513生產 _Qbi製程記錄表_cPL 犬胰腺特异性脂肪酶_UMRZ26E028.xlsx | SHEET=ow | TYPE=water | WO=UMRZ26E028 | LOT= | OK
2026-05-26T14:29:42.265906 | UPLOAD | 20260511建線 & 0513生產 _Qbi製程記錄表_cPL 犬胰腺特异性脂肪酶_UMRZ26E028.xlsx | SHEET=ow (2) | TYPE=water | WO=UMRZ26E028 | LOT= | OK
2026-05-26T14:29:45.021538 | UPLOAD | 20260511建線 & 0514生產 _Qbi製程記錄表_fPL 猫胰腺特异性脂肪酶_UMRZ26E029.xlsx | SHEET=ow | TYPE=water | WO=UMRZ26E029 | LOT= | OK
2026-05-26T14:29:45.039971 | UPLOAD | 20260511建線 & 0514生產 _Qbi製程記錄表_fPL 猫胰腺特异性脂肪酶_UMRZ26E029.xlsx | SHEET=ow (2) | TYPE=water | WO=UMRZ26E029 | LOT= | OK
2026-05-26T14:29:46.854437 | UPLOAD | 20260512建線 & 0515生產_Qbi製程記錄表_(ST1) Specific Test 1_UMRZ26E034.xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26E034 | LOT= | OK
2026-05-26T14:29:48.563499 | UPLOAD | 20260512建線 & 0515生產_Qbi製程記錄表_Optimum Wellness  37_ UMRZ26E033(只有ow3)(退).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26E033 | LOT= | OK
2026-05-26T14:29:50.333837 | UPLOAD | 20260512建線 & 0518生產 _Qbi製程記錄表_(LA) 大動物健康檢查 Large Animal  25_UMRZ26E026_LA2(退).xlsx | SHEET=ow | TYPE=standard | WO=UMRZ26E026 | LOT= | OK
